Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100,1,Antenna,C89334
"C1, C5",0402,2,12p,C1547
"C10, C7",0402,2,1p2,C76899
"C12, C19, C36, C37, C39, C40, C42, C9",0402,8,1u,C52923
"C13, C15, C16, C17, C2, C22, C29, C3, C32, C4, C41, C44",0402,12,0u1,C307331
"C20, C21, C30, C31",1206,4,47u,C96123
C23,0402,1,220n,C16772
"C24, C25, C26, C28",0805,4,10u,C440198
C27,0402,1,10n,C15195
C33,0402,1,47p,C1567
"C34, C35",0805,2,22u,C45783
C38,0402,1,4u7,C23733
C43,CP_Elec_6.3x7.7,1,220u,C46550411
C6,0402,1,1p,C1550
C8,0402,1,10u,C15525
"D1, D2, D3, D5",Diode_DFN1006,4,H5VU10U,C22395519
D4,Diode_DFN1006,1,P6SMB6.8CA/TR13,C78395
D6,D_SMB,1,D_TVS,C2925441
D7,D_SMA,1,SS34,C8678
D8,0603,1,RED,C2286
D9,D_SOD-123,1,BZT52B3V3,C19077392
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
L1,0402,1,24n,C167472
L2,0402,1,3n9,C77109
"L3, L4, L5",0402,3,2n7,C77108
L6,L_Sunlord_SWRB1207S,1,18u,C73501
L7,L_Sunlord_MWSA0804S,1,5u6,C17700168
"Q1, Q10, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",Vishay_PowerPAK_1212-8_Single,10,Q_NMOS,C111309
"R1, R2, R3",0603,3,6k8,C23212
"R10, R11",0402,2,22,C25092
"R12, R17, R21, R26, R27, R29, R30, R32, R34, R35, R40, R43, R46, R48, R7, R9",0402,16,10k,C25744
"R13, R14, R18, R25",0402,4,5k1,C25905
"R15, R19, R28",0402,3,100k,C25741
R16,0603,1,3k6,C22980
R20,0603,1,110k,C25805
R22,0402,1,3k3,C25890
"R23, R24",0402,2,2k2,C25879
R31,0603,1,6k2,C4260
R33,0402,1,22k,C25768
"R36, R6",0603,2,100,C22775
R37,0805,1,5.1,C20638
R38,0603,1,10k,C23159
R39,0603,1,50k,C22764
R4,0603,1,47,C23182
R41,0402,1,33k,C25779
R42,0402,1,200k,C25764
R44,0402,1,68k,C36871
R45,0603,1,7k5,C23234
R47,2512,1,20m,C5375467
R5,0603,1,75,C4275
R8,0402,1,470,C25117
"SW1, SW2",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
"TP1, TP10, TP11, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Keystone_5015_Micro_Mini,11,TestPoint,C2906768
"U1, U2, U3",OnSemi_CASE100CY,3,QRE1113GR,C232862
U10,SOT-23,1,CJ431,C3113
U11,Texas_RGE0024H_VQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,DRV8701,C90964
U4,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,1,ESP32-S3FH4R2,C3013940
U5,SOT-23-THIN-8,1,LM74502,C3236215
U6,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
U7,Texas_RPA0010A_VQFN-HR-10_3x3mm_P0.5mm,1,TPS56A37,C22392669
U8,Texas_VQFN-HR-12_2x2.5mm_P0.5mm,1,TPS2121,C485916
U9,DFN-6-1EP_2x2mm_P0.5mm_ST,1,LDL212PV33R,C2969892
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48M,C7206306
