Designator,Mid X,Mid Y,Rotation,Layer
AE1,2.5,47.0,90.0,top
C1,16.5,27.5325,270.0,top
C10,17.015,23.23,90.0,top
C12,26.5,15.0,270.0,top
C13,14.75,19.5,180.0,top
C15,14.75,20.5,180.0,top
C16,20.75,13.25,270.0,top
C17,24.25,24.25,0.0,top
C19,18.25,24.25,90.0,top
C2,12.3625,8.25,0.0,top
C20,13.04,30.5,180.0,top
C21,20.5,35.5,270.0,top
C22,56.42,15.8,180.0,top
C23,56.42,17.8,90.0,top
C24,61.5,21.25,180.0,top
C25,21.0,43.96,90.0,top
C26,63.18,24.125,0.0,top
C27,29.6,39.69,270.0,top
C28,63.2,26.375,0.0,top
C29,62.7,28.125,0.0,top
C3,7.6125,8.25,0.0,top
C30,34.5,48.0,180.0,top
C31,39.25,48.0,0.0,top
C32,59.98,31.908072,180.0,top
C33,67.45,29.625,0.0,top
C34,61.98,47.0,0.0,top
C35,61.98,44.75,0.0,top
C36,25.5,11.0,180.0,top
C37,12.5,18.37857,90.0,top
C38,7.75,18.5,90.0,top
C39,43.76,32.01,90.0,top
C4,2.8825,8.25,0.0,top
C40,42.75,32.01,90.0,top
C41,45.5,27.5,270.0,top
C42,45.5,25.5,90.0,top
C43,50.45,19.75,180.0,top
C44,45.501479,23.612516,270.0,top
C5,20.5,27.5325,270.0,top
C7,14.0,22.25,270.0,top
C8,14.74882,18.094512,180.0,top
C9,10.75,28.5,180.0,top
D1,17.04,31.09,0.0,top
D2,20.5,38.5,0.0,top
D3,21.5,10.0,180.0,top
D4,19.425,10.0,180.0,top
D5,23.25,10.0,0.0,top
D6,59.42,12.8,0.0,top
D7,25.35,38.96,0.0,top
D8,65.7,32.625,270.0,top
D9,25.5,29.75,180.0,top
FID1,33.0,9.0,0.0,top
FID2,53.0,45.0,0.0,top
FID3,52.0,9.0,0.0,top
J1,7.42,34.77,180.0,top
J2,22.25,3.94,0.0,top
J3,62.11,4.5,0.0,top
J4,48.655,39.505,270.0,top
J5,35.77,24.85,180.0,top
JP2,57.42,23.295,180.0,top
L1,19.75,24.5,90.0,top
L2,2.5,43.5,270.0,top
L4,15.5,22.75,0.0,top
L5,16.25,20.0,90.0,top
L6,37.0,40.0,90.0,top
L7,61.0,38.5,90.0,top
M1,15.04,33.5,90.0,top
M2,15.0,38.58,90.0,top
M3,41.79,4.5,0.0,top
Q1,65.09,15.8,270.0,top
Q10,48.16,13.0575,90.0,top
Q2,65.09,20.435,90.0,top
Q3,53.605,33.29,0.0,top
Q4,49.455,33.3975,270.0,top
Q5,49.455,28.6725,90.0,top
Q6,53.605,28.8,0.0,top
Q7,36.19,13.0575,90.0,top
Q8,40.17,13.0575,270.0,top
Q9,44.17,13.0575,270.0,top
R1,11.3625,10.75,270.0,top
R10,23.75,13.25,270.0,top
R11,22.75,13.25,270.0,top
R12,28.5,28.5,270.0,top
R13,15.75,4.25,90.0,top
R14,28.75,3.75,90.0,top
R15,61.92,15.8,180.0,top
R16,61.75,18.3,90.0,top
R17,59.75,24.0,270.0,top
R18,67.45,31.625,180.0,top
R19,66.75,28.375,0.0,top
R2,6.6125,10.75,270.0,top
R20,67.25,27.125,0.0,top
R21,29.5,47.75,270.0,top
R22,28.0,47.25,180.0,top
R23,31.5,13.285,180.0,top
R24,31.5,12.285,180.0,top
R25,65.5,30.125,90.0,top
R26,28.686417,15.785,180.0,top
R27,29.25,9.285,180.0,top
R28,67.45,30.625,0.0,top
R29,31.49,14.285,180.0,top
R3,1.8625,10.75,270.0,top
R30,31.5,11.285,180.0,top
R31,29.0,14.535,0.0,top
R32,29.25,10.285,0.0,top
R33,25.5,12.285,180.0,top
R34,52.25,35.75,0.0,top
R35,45.743354,35.893669,180.0,top
R36,47.75,43.5,0.0,top
R37,6.0,14.8375,270.0,top
R38,12.75,13.75,180.0,top
R39,12.75,15.25,0.0,top
R4,13.3625,10.75,90.0,top
R40,40.5,32.0,270.0,top
R41,32.04,19.91,270.0,top
R42,32.137549,23.158542,270.0,top
R43,41.5,32.0,270.0,top
R44,32.04,29.66,90.0,top
R45,45.92,30.75,90.0,top
R46,46.0,32.925,180.0,top
R47,42.25,20.25,90.0,top
R48,25.5,13.285,0.0,top
R49,51.0,44.175,270.0,top
R5,8.6125,10.75,90.0,top
R50,2.5,40.51,270.0,top
R6,3.8625,10.75,90.0,top
R7,13.5,28.5,180.0,top
R8,22.25,24.5,270.0,top
R9,18.5,13.5,270.0,top
SW1,16.25,12.5,90.0,top
SW2,12.0,26.25,0.0,top
TP1,25.5,27.0,180.0,top
TP10,52.0,13.0,90.0,top
TP11,29.0,18.0,180.0,top
TP12,2.5,37.95,180.0,top
TP2,65.42,11.8,180.0,top
TP3,58.5,28.5,180.0,top
TP4,47.5,47.0,0.0,top
TP5,57.98,46.0,90.0,top
TP6,32.5,3.75,0.0,top
TP7,50.42,24.75,0.0,top
TP8,2.5,18.5,180.0,top
TP9,2.5,14.5,180.0,top
U1,12.3625,4.5,180.0,top
U10,9.2625,14.755,180.0,top
U11,41.92,28.0125,180.0,top
U2,7.6,4.5,180.0,top
U3,2.8625,4.5,180.0,top
U4,21.85,19.1175,90.0,top
U5,58.92,17.8,90.0,top
U6,26.3,43.595,180.0,top
U7,63.0,30.5,180.0,top
U8,28.4,12.325,90.0,top
U9,10.0,18.4,270.0,top
Y1,18.5,27.5,0.0,top
